river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1116,Notropis atherinoides,invertivore/planktivore,65,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1117,Notropis atherinoides,invertivore/planktivore,60,10.8094878,-27.6375328,13.0122124,43.86030019,3.370702755,3.916609662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1118,Notropis atherinoides,invertivore/planktivore,55,10.8094878,-27.6375328,13.0122124,43.86030019,3.370702755,3.916609662
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1119,Cyprinella spiloptera,invertivore/planktivore,110,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1120,Cyprinella spiloptera,invertivore/planktivore,80,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1121,Cyprinella spiloptera,invertivore/planktivore,95,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1122,Cyprinella spiloptera,invertivore/planktivore,65,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1123,Cyprinella spiloptera,invertivore/planktivore,75,NA,NA,NA,NA,NA,NA
SCR,2,Markland Ctr & Norway Point Landing,SCR2,1124,Percina caprodes,invertivore/planktivore,80,NA,NA,NA,NA,NA,NA
PEP,1,"Lake Pepin below Lake City, MN",PEP1,101,Bowfin,piscivore,520,13.4728798,-29.85405152,13.23028168,54.57987794,4.125375353,1.941126088
PEP,1,"Lake Pepin below Lake City, MN",PEP1,102,Drum,invertivore,320,15.0551258,-25.81436873,14.20376041,45.72918481,3.219512544,2.406492559
PEP,1,"Lake Pepin below Lake City, MN",PEP1,103,Bowfin,piscivore,570,14.111825,-26.71291654,13.31823834,49.70883732,3.732388326,2.129051147
PEP,1,"Lake Pepin below Lake City, MN",PEP1,104,Bowfin,piscivore,645,15.764617,-26.47007331,13.85297241,47.92683827,3.459679037,2.615166441
