site,fpz,description,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N
WIN,2,backwater,253,Esox lucius,piscivore,595,16.034,-24.489,12.878,40.016,3.107
WIN,2,backwater,254,Micropterus salmoides,piscivore,388,18.359,-24.202,13.945,43.749,3.137
WIN,2,backwater,255,Ictiobus cyprinellus,planktivore,595,15.253,-28.742,6.768,61.480,9.084
WIN,2,backwater,256,Lepomis macrochirus,invertivore,180,15.995,-26.323,13.416,44.990,3.353
WIN,2,backwater,257,Aplodinotus grunniens,invertivore,335,14.528,-27.953,12.531,42.473,3.390
WIN,2,side channel,258,Moxostoma macrolepidotum,invertivore,352,15.267,-26.993,13.096,45.618,3.483
WIN,2,side channel,259,Micropterus salmoides,piscivore,342,17.984,-24.014,12.254,38.644,3.154
WIN,2,side channel,260,Micropterus dolomieu,piscivore,354,17.755,-24.216,13.553,44.091,3.253
WIN,2,side channel,261,Micropterus dolomieu,piscivore,320,18.101,-25.258,14.598,47.764,3.272
WIN,2,side channel,262,Amia calva,piscivore,560,16.983,-23.820,13.805,45.950,3.329
